2022-12-04 16:06:34,812 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_created():275] file/dir created: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\output.log
2022-12-04 16:06:36,825 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_modified():292] file/dir modified: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\output.log
2022-12-04 16:06:38,317 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:06:38,317 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:06:49,724 DEBUG   SystemMonitor:12044 [system_monitor.py:_start():130] Starting system metrics aggregation loop
2022-12-04 16:06:49,724 DEBUG   SenderThread:12044 [sender.py:send():303] send: stats
2022-12-04 16:06:58,345 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:06:58,345 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:07:14,516 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:07:14,516 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:07:19,729 DEBUG   SenderThread:12044 [sender.py:send():303] send: stats
2022-12-04 16:07:29,702 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:07:29,702 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:07:44,878 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:07:44,878 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:07:49,741 DEBUG   SenderThread:12044 [sender.py:send():303] send: stats
2022-12-04 16:08:00,066 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:08:00,066 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:08:15,250 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:08:15,250 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:08:19,750 DEBUG   SenderThread:12044 [sender.py:send():303] send: stats
2022-12-04 16:08:30,440 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:08:30,440 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:08:45,653 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:08:45,653 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:08:49,765 DEBUG   SenderThread:12044 [sender.py:send():303] send: stats
2022-12-04 16:09:00,858 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:09:00,858 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:09:16,050 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:09:16,050 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:09:19,778 DEBUG   SenderThread:12044 [sender.py:send():303] send: stats
2022-12-04 16:09:31,223 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:09:31,223 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:09:46,403 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:09:46,403 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
